type,person name,street name
confederate,Thomas T. Munford,Munford St
confederate,Thomas Whitehead,Whitehead Rd
confederate,William Duncan Smith,Smith St
confederate,William Dunlap Simpson,Simpson Ave
confederate,William F. Perry,Perry St
confederate,William G. Lewis,Lewis Ave
confederate,William Henry Carroll,Carroll St
confederate,William Henry Wallace,Wallace St
confederate,William H. Perry,Perry St
confederate,William Hugh Young,Young St
confederate,William Miller ,Miller Ave
confederate,William Paul Roberts,E Roberts St
confederate,William Paul Roberts,Roberts St
confederate,William Paul Roberts,W Roberts St
confederate,William Preston ,E Preston St
confederate,William Smith ,Smith St
confederate,William Stephen Walker,Walker St
confederate,William Wirt Adams,N Adams St
confederate,William Wirt Adams,S Adams St
confederate,W. Jasper Talbert,Talbert Dr
confederate,Young Marshall Moody,Moody Ave
