street name	stripped name
Commonwealth Ave	Commonwealth
Concord Ave	Concord
Condie St	Condie
Confederate Ave	Confederate
Coniston Ave	Coniston
Conrad St	Conrad
Conway St	Conway
Cooks Rd	Cooks
Cool Ln	Cool
Cooper Rd	Cooper
Corbin St	Corbin
Co Rd 650	Co  
Cottingham Rd	Cottingham
Cottrell Rd	Cottrell
County Rd	County
Courtland St	Courtland
Court St	Court
Coventry Rd	Coventry
Covington Rd	Covington
Cowardin Ave	Cowardin
Crafton Ln	Crafton
Craigie Ave	Craigie
Crane St	Crane
Cranford Ave	Cranford
Creedmore St	Creedmore
Creek's Crossing Blvd	Creek' Crossing
Creek Summit Cir	Creek Summit
Creighton Rd	Creighton
Crenshaw Way	Crenshaw
Crestview Rd	Crestview
Crestwood Rd	Crestwood
Crieff Rd	Crieff
Croatan Rd	Croatan
Cronin Dr	Cronin
Cross Rd	Cross
Crumpton Ct N	Crumpton
Crumpton Dr	Crumpton
Crutchfield St	Crutchfield
Cullen Rd	Cullen
Cullenwood Dr	Cullenwood
Cullenwood Dr Exd	Cullenwood
Culpepper St	Culpepper
Culver Rd	Culver
Cumberland St	Cumberland
Cummings Dr	Cummings
Currie St	Currie
Custer St	Custer
Custis Rd	Custis
Cutshaw Ave	Cutshaw
Cypress St	Cypress
Dabney Rd	Dabney
Dakota Ave	Dakota
Dale Ave	Dale
Dallas Ave	Dallas
Dana St	Dana
Danbury Rd	Danbury
Dance St	Dance
Daniel St	Daniel
Darbytown Rd	Darbytown
Darden Rd	Darden
Darnley Dr	Darnley
Davee Rd	Davee
Dawn St	Dawn
Dawson Rd	Dawson
Daytona Dr	Daytona
Debora Dr	Debora
Decatur St	Decatur
Decker Rd	Decker
Deepwater Terminal Rd	Deepwater Terminal
Deerwood Rd	Deerwood
Deforrest St	Deforrest
Delano St	Delano
Delaware Ave	Delaware
Delivery Dr	Delivery
Delmont St	Delmont
Deloak Ave	Deloak
Denbigh Dr	Denbigh
Derrymore Ct	Derrymore
Derrymore Rd	Derrymore
Derwent Rd	Derwent
Deter Rd	Deter
Detroit Ave	Detroit
Devara Ct	Devara
Devonshire Ct	Devonshire
Devonshire Rd	Devonshire
Dill Ave	Dill
Dillwyn Rd	Dillwyn
Dinneen St	Dinneen
Dinwiddie Ave	Dinwiddie
Distributor Dr	Distributor
Ditchley Rd	Ditchley
Dixon Dr	Dixon
Dobson St	Dobson
Dock St	Dock
Domino Rd	Domino
Donnan St	Donnan
Dorchester Rd	Dorchester
Dorset Ct	Dorset
Dorset Rd	Dorset
Douglasdale Rd	Douglasdale
Doulton Rd	Doulton
Dover Rd	Dover
Dovershire Rd	Dovershire
Dove St	Dove
Downtown Expy	Downtown Expy
Drake St	Drake
Drewry St	Drewry
Drumheller Dr	Drumheller
Dubet Ln	Dubet
Dubois Ave	Dubois
Duffton Rd	Duffton
Dunbar St	Dunbar
Duncaster Rd	Duncaster
